variable,description,raw_variables,raw_labels,raw_value_labels,units,english_categories,missing_and_derivation_rule,predictor_role,expanded_predictor_role
rural_water_consumption,"Consumed well, spring or rural drinking water during the previous week for drinking/cooking; not bottled water or fluoride concentration",m8p13,"m8p13: m8p13. Durante la última semana, para tomar o cocinar, ha consumido agua de pozos, vertientes o agua potable rural(APR)","{""m8p13"": {""1.0"": ""SÍ"", ""2.0"": ""NO""}}",category,"{""1"": ""Yes"", ""2"": ""No""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,extended sensitivity,context
dental_visit,Time since last dental visit; potentially responsive to existing disease or treatment,sb2,sb2: sb2. ¿Cuándo fue la última vez que visitó al dentista?,"{""sb2"": {""1.0"": ""HACE MENOS DE 6 MESES"", ""2.0"": ""ENTRE 6 MESES Y UN AÑO"", ""3.0"": ""MÁS DE 1 AÑO Y MENOS DE 2 AÑOS"", ""4.0"": ""2 O MÁS AÑOS, PERO MENOS DE 5 AÑOS"", ""5.0"": ""5 O MÁS AÑOS"", ""6.0"": ""NUNCA LO HE VISITADO""}}",category,"{""1"": ""Less than 6 months"", ""2"": ""6–12 months"", ""3"": ""More than 1 to less than 2 years"", ""4"": ""2 to less than 5 years"", ""5"": ""At least 5 years"", ""6"": ""Never""}",Negative special codes and nonfinite values become missing. Missing values retained; categorical codes mapped without imposing linear spacing.,extended sensitivity,context
soda_glasses_daily,Estimated daily soda volume in glasses; extreme reported values retained and audited,die12_cantidad + die12_unidad + die12e,die12_cantidad: die12_cantidad. Cantidad: ¿Cuántas gaseosas azucaradas consumió en el último mes? | die12_unidad: die12_unidad. Unidad: ¿Cuántas gaseosas azucaradas consumió en el último mes? | die12e: die12e. ¿Cuántos vasos estándar de gaseosas azucaradas consumió en cada ocasión?,"{""die12_cantidad"": {}, ""die12_unidad"": {""1.0"": ""N° DE VECES AL DÍA"", ""2.0"": ""N° DE VECES A LA SEMANA"", ""3.0"": ""N° DE VECES AL MES"", ""4.0"": ""NO CONSUME""}, ""die12e"": {}}",glasses/day,{},Negative special codes and nonfinite values become missing. Daily frequency * die12e; nonconsumer=0 even if glasses/occasion missing; no clipping.,ancillary,dietary intake
juice_glasses_daily,Estimated daily juice volume in glasses; extreme reported values retained and audited,die13_cantidad + die13_unidad + die13e,die13_cantidad: die13_cantidad. Cantidad: ¿Qué tan seguido consumió jugos con azúcar el último mes? | die13_unidad: die13_unidad. Unidad: ¿Qué tan seguido consumió jugos con azúcar el último mes? | die13e: die13e. ¿Cuántos vasos estándar consumió en promedio en cada ocasión?,"{""die13_cantidad"": {}, ""die13_unidad"": {""1.0"": ""N° DE VECES AL DÍA"", ""2.0"": ""N° DE VECES A LA SEMANA"", ""3.0"": ""N° DE VECES AL MES"", ""4.0"": ""NO CONSUME""}, ""die13e"": {}}",glasses/day,{},Negative special codes and nonfinite values become missing. Daily frequency * die13e; nonconsumer=0 even if glasses/occasion missing; no clipping.,ancillary,dietary intake
income_band,"Monthly net income of the entire household, in questionnaire bands",as27 + as28,"as27: as27. Podría decirme, ¿cuál es aproximadamente el ingreso mensual  líquido de todo el hogar, es decir, sumando todos los ingresos de los miembros del hogar? | as28: as28. De acuerdo a la siguiente tarjeta, podría decirme, ¿Dónde se encuentran los ingresos mensuales totales del hogar, sumando todos los ingresos de los miembros del hogar?. Muestre tarjeta 29","{""as27"": {""-9999.0"": ""NO RESPONDE"", ""-8888.0"": ""NO SABE""}, ""as28"": {""-9999.0"": ""NO RESPONDE"", ""-8888.0"": ""NO SABE"", ""1.0"": ""1. MENOS DE $77.999"", ""2.0"": ""2. $78.000 A $134.999"", ""3.0"": ""3. $135.000 A $217.999"", ""4.0"": ""4. $218.000 A $295.999"", ""5.0"": ""5. $296.000 A $383.999"", ""6.0"": ""6. $384.000 A $480.999"", ""7.0"": ""7. $481.000 A $607.999"", ""8.0"": ""8. $608.000 A $764.999"", ""9.0"": ""9. $765.000 A $1.029.999"", ""10.0"": ""10. $1.030.000 A $1.572.999"", ""11.0"": ""11. MÁS DE $1.573.000""}}","household CLP/month, category","{""1"": ""01 <78,000 CLP/month"", ""2"": ""02 78,000–134,999 CLP/month"", ""3"": ""03 135,000–217,999 CLP/month"", ""4"": ""04 218,000–295,999 CLP/month"", ""5"": ""05 296,000–383,999 CLP/month"", ""6"": ""06 384,000–480,999 CLP/month"", ""7"": ""07 481,000–607,999 CLP/month"", ""8"": ""08 608,000–764,999 CLP/month"", ""9"": ""09 765,000–1,029,999 CLP/month"", ""10"": ""10 1,030,000–1,572,999 CLP/month"", ""11"": ""11 >=1,573,000 CLP/month""}","Negative special codes and nonfinite values are missing. Use nonnegative as27 in CLP/month and the ten fixed lower bounds; otherwise use as28 codes 1–11. Bounds are left-inclusive, including 1,573,000 in band11. No interval midpoints or estimated income. Exact amount takes precedence; disagreements are audited.",context,context
health_insurance,"Participant's health insurance system, including public insurance group",as5_1,"as5_1: as5. (Seleccionado) ¿A qué sistema previsional de salud pertenece, ya sea como cotizante o carga?","{""as5_1"": {""-8888.0"": ""NO SABE"", ""1.0"": ""SISTEMA PÚBLICO FONASA GRUPO A"", ""2.0"": ""SISTEMA PÚBLICO FONASA GRUPO B"", ""3.0"": ""SISTEMA PÚBLICO FONASA GRUPO C"", ""4.0"": ""SISTEMA PÚBLICO FONASA GRUPO D"", ""5.0"": ""SISTEMA PÚBLICO FONASA, NO SABE GRUPO"", ""6.0"": ""FFAA Y DE ORDEN"", ""7.0"": ""ISAPRE"", ""8.0"": ""NINGUNO"", ""9.0"": ""OTRO SISTEMA. ESPECIFIQUE""}}",category,"{""1"": ""Public FONASA A"", ""2"": ""Public FONASA B"", ""3"": ""Public FONASA C"", ""4"": ""Public FONASA D"", ""5"": ""Public FONASA, group unknown"", ""6"": ""Armed forces or police"", ""7"": ""Private ISAPRE"", ""8"": ""None"", ""9"": ""Other""}",Negative special codes and nonfinite values are missing. Preserve categories and unexplained missingness; no fitted transformation.,context,context
smoking_status,"Self-reported current daily, occasional, former or never cigarette smoking",ta3,ta3: ta3. ¿Actualmente fuma Ud. cigarrillos?,"{""ta3"": {""1.0"": ""SÍ, UNO O MÁS CIGARRILLOS AL DÍA"", ""2.0"": ""SÍ, OCASIONALMENTE (MENOS DE UN CIGARRILLO AL DÍA)"", ""3.0"": ""NO, HE DEJADO DE FUMAR"", ""4.0"": ""NO, NUNCA HE FUMADO""}}",category,"{""1"": ""Current daily"", ""2"": ""Current occasional"", ""3"": ""Former"", ""4"": ""Never""}",Negative special codes and nonfinite values are missing. Preserve categories and unexplained missingness; no fitted transformation.,context,context
diabetes_reported,Ever told by a health professional that the participant had diabetes,di3,"di3: di3. Alguna vez un doctor, una enfermera u otro profesional de la salud le ha dicho a Ud. que ha tenido o que tiene o que padece de Diabetes (azúcar alta en la sangre)?","{""di3"": {""1.0"": ""SÍ"", ""2.0"": ""NO"", ""3.0"": ""NO RECUERDO""}}",category,"{""1"": ""Yes"", ""2"": ""No""}","Negative special codes and nonfinite values are missing. di3=3 (does not remember) is missing, although its numeric code is positive.",context,context
dental_visit_reason,Main reason for the most recent dental visit,sb2 + sb3,sb2: sb2. ¿Cuándo fue la última vez que visitó al dentista? | sb3: sb3. Motivo principal de la última visita al dentista,"{""sb2"": {""1.0"": ""HACE MENOS DE 6 MESES"", ""2.0"": ""ENTRE 6 MESES Y UN AÑO"", ""3.0"": ""MÁS DE 1 AÑO Y MENOS DE 2 AÑOS"", ""4.0"": ""2 O MÁS AÑOS, PERO MENOS DE 5 AÑOS"", ""5.0"": ""5 O MÁS AÑOS"", ""6.0"": ""NUNCA LO HE VISITADO""}, ""sb3"": {""-9999.0"": ""NO RESPONDE"", ""-8888.0"": ""NO SABE"", ""1.0"": ""DOLOR O MOLESTIAS CON LOS DIENTES, ENCÍAS O BOCA"", ""2.0"": ""TRATAMIENTO/CONTINUAR UN TRATAMIENTO"", ""3.0"": ""REVISIÓN O CONTROL DE RUTINA""}}",category,"{""1"": ""Pain or discomfort"", ""2"": ""Treatment or continuation"", ""3"": ""Routine check-up"", ""structural"": ""Never visited""}",Negative special codes and nonfinite values are missing. sb2=6 establishes structural 'Never visited'; otherwise unknown/missing sb3 stays missing. A substantive sb3 response with sb2=6 is an inconsistent questionnaire route and raises an error.,context,context
dental_access,Dental care received or unmet need during the previous six months,sb4,"sb4: sb4. En los últimos 6 meses, ¿tuvo atención dental?","{""sb4"": {""-9999.0"": ""NO RESPONDE"", ""-8888.0"": ""NO SABE"", ""-7777.0"": ""NO APLICA"", ""1.0"": ""SÍ"", ""2.0"": ""NO. SOLICITÓ ATENCIÓN, SE LA DIERON, PERO NO PUDO ASISTIR"", ""3.0"": ""NO. SOLICITÓ ATENCIÓN Y NO SE LA DIERON"", ""4.0"": ""NO. NECESITO ATENCIÓN PERO NO LA SOLICITÓ"", ""5.0"": ""NO NECESITÓ ATENCIÓN""}}",category,"{""1"": ""Received care"", ""2"": ""Appointment obtained, unable to attend"", ""3"": ""Requested care, not provided"", ""4"": ""Needed care, did not request"", ""5"": ""Did not need care""}","Negative special codes and nonfinite values are missing. All three negative special codes, including -7777 (not applicable), remain missing; do not interpret missing as no care.",context,context
oral_health_selfrating,Overall self-rated oral health,sb1,"sb1: sb1. En general, usted diría que su salud bucal es:","{""sb1"": {""1.0"": ""MUY BUENA"", ""2.0"": ""BUENA"", ""3.0"": ""REGULAR"", ""4.0"": ""MALA"", ""5.0"": ""MUY MALA""}}",category,"{""1"": ""Very good"", ""2"": ""Good"", ""3"": ""Fair"", ""4"": ""Poor"", ""5"": ""Very poor""}",Negative special codes and nonfinite values are missing. Preserve categories and unexplained missingness; no fitted transformation.,oral symptoms,oral symptoms
oral_pain,Frequency of suffering or pain attributed to teeth or dentures,sb5_2,sb5_2: sb5_2. Mis dientes o prótesis son causa de sufrimiento y dolor,"{""sb5_2"": {""1.0"": ""NUNCA"", ""2.0"": ""CASI NUNCA"", ""3.0"": ""A VECES"", ""4.0"": ""CASI SIEMPRE"", ""5.0"": ""SIEMPRE""}}",category,"{""1"": ""Never"", ""2"": ""Almost never"", ""3"": ""Sometimes"", ""4"": ""Almost always"", ""5"": ""Always""}",Negative special codes and nonfinite values are missing. Preserve categories and unexplained missingness; no fitted transformation.,oral symptoms,oral symptoms
oral_speech,Frequency of discomfort from teeth or dentures when speaking,sb5_1,sb5_1: sb5_1. Mis dientes o prótesis me incomodan cuando hablo ,"{""sb5_1"": {""1.0"": ""NUNCA"", ""2.0"": ""CASI NUNCA"", ""3.0"": ""A VECES"", ""4.0"": ""CASI SIEMPRE"", ""5.0"": ""SIEMPRE""}}",category,"{""1"": ""Never"", ""2"": ""Almost never"", ""3"": ""Sometimes"", ""4"": ""Almost always"", ""5"": ""Always""}",Negative special codes and nonfinite values are missing. Preserve categories and unexplained missingness; no fitted transformation.,oral symptoms,oral symptoms
oral_eating,Frequency of discomfort from teeth or dentures when eating,sb5_3,sb5_3: sb5_3. Mis dientes o prótesis me producen incomodidad cuando como,"{""sb5_3"": {""1.0"": ""NUNCA"", ""2.0"": ""CASI NUNCA"", ""3.0"": ""A VECES"", ""4.0"": ""CASI SIEMPRE"", ""5.0"": ""SIEMPRE""}}",category,"{""1"": ""Never"", ""2"": ""Almost never"", ""3"": ""Sometimes"", ""4"": ""Almost always"", ""5"": ""Always""}",Negative special codes and nonfinite values are missing. Preserve categories and unexplained missingness; no fitted transformation.,oral symptoms,oral symptoms
oral_daily_activities,Frequency of interference with daily activities from teeth or dentures,sb5_4,"sb5_4: sb5_4. Mis dientes o prótesis interfieren con mis actividades diarias (trabajo, estudio, labores de casa, etc.)","{""sb5_4"": {""1.0"": ""NUNCA"", ""2.0"": ""CASI NUNCA"", ""3.0"": ""A VECES"", ""4.0"": ""CASI SIEMPRE"", ""5.0"": ""SIEMPRE""}}",category,"{""1"": ""Never"", ""2"": ""Almost never"", ""3"": ""Sometimes"", ""4"": ""Almost always"", ""5"": ""Always""}",Negative special codes and nonfinite values are missing. Preserve categories and unexplained missingness; no fitted transformation.,oral symptoms,oral symptoms
oral_social,Frequency of interference with social relationships from teeth or dentures,sb5_5,sb5_5: sb5_5. Mis dientes o prótesis interfieren con mis relaciones sociales,"{""sb5_5"": {""1.0"": ""NUNCA"", ""2.0"": ""CASI NUNCA"", ""3.0"": ""A VECES"", ""4.0"": ""CASI SIEMPRE"", ""5.0"": ""SIEMPRE""}}",category,"{""1"": ""Never"", ""2"": ""Almost never"", ""3"": ""Sometimes"", ""4"": ""Almost always"", ""5"": ""Always""}",Negative special codes and nonfinite values are missing. Preserve categories and unexplained missingness; no fitted transformation.,oral symptoms,oral symptoms
